Pair.Name,Ligand.ApprovedSymbol,Ligand.Name,Receptor.ApprovedSymbol,Receptor.Name
ICAM4_ITGB3,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group),ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
ICAM4_RHAG,ICAM4,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group),RHAG,Rh-associated glycoprotein
ICAM5_ITGAL,ICAM5,"intercellular adhesion molecule 5, telencephalin",ITGAL,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)"
ICAM5_ITGB2,ICAM5,"intercellular adhesion molecule 5, telencephalin",ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
IFNA10_IFNAR1,IFNA10,"interferon, alpha 10",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA10_IFNAR2,IFNA10,"interferon, alpha 10",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA13_IFNAR1,IFNA13,"interferon, alpha 13",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA13_IFNAR2,IFNA13,"interferon, alpha 13",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA14_IFNAR1,IFNA14,"interferon, alpha 14",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA14_IFNAR2,IFNA14,"interferon, alpha 14",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA16_IFNAR1,IFNA16,"interferon, alpha 16",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA16_IFNAR2,IFNA16,"interferon, alpha 16",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA17_IFNAR1,IFNA17,"interferon, alpha 17",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA17_IFNAR2,IFNA17,"interferon, alpha 17",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA1_IFNAR1,IFNA1,"interferon, alpha 1",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA1_IFNAR2,IFNA1,"interferon, alpha 1",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA21_IFNAR1,IFNA21,"interferon, alpha 21",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA21_IFNAR2,IFNA21,"interferon, alpha 21",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA2_IFNAR1,IFNA2,"interferon, alpha 2",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA2_IFNAR2,IFNA2,"interferon, alpha 2",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA4_IFNAR1,IFNA4,"interferon, alpha 4",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA4_IFNAR2,IFNA4,"interferon, alpha 4",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA5_IFNAR1,IFNA5,"interferon, alpha 5",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA5_IFNAR2,IFNA5,"interferon, alpha 5",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA6_IFNAR1,IFNA6,"interferon, alpha 6",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA6_IFNAR2,IFNA6,"interferon, alpha 6",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA7_IFNAR1,IFNA7,"interferon, alpha 7",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA7_IFNAR2,IFNA7,"interferon, alpha 7",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNA8_IFNAR1,IFNA8,"interferon, alpha 8",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNA8_IFNAR2,IFNA8,"interferon, alpha 8",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNB1_IFNAR1,IFNB1,"interferon, beta 1, fibroblast",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNB1_IFNAR2,IFNB1,"interferon, beta 1, fibroblast",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IFNG_IFNGR1,IFNG,"interferon, gamma",IFNGR1,interferon gamma receptor 1
IFNG_IFNGR2,IFNG,"interferon, gamma",IFNGR2,interferon gamma receptor 2 (interferon gamma transducer 1)
IFNL1_IFNLR1,IFNL1,"interferon, lambda 1",IFNLR1,"interferon, lambda receptor 1"
IFNL1_IL10RB,IFNL1,"interferon, lambda 1",IL10RB,"interleukin 10 receptor, beta"
IFNL2_IFNLR1,IFNL2,"interferon, lambda 2",IFNLR1,"interferon, lambda receptor 1"
IFNL2_IL10RB,IFNL2,"interferon, lambda 2",IL10RB,"interleukin 10 receptor, beta"
IFNL3_IFNLR1,IFNL3,"interferon, lambda 3",IFNLR1,"interferon, lambda receptor 1"
IFNL3_IL10RB,IFNL3,"interferon, lambda 3",IL10RB,"interleukin 10 receptor, beta"
IFNW1_IFNAR1,IFNW1,"interferon, omega 1",IFNAR1,"interferon (alpha, beta and omega) receptor 1"
IFNW1_IFNAR2,IFNW1,"interferon, omega 1",IFNAR2,"interferon (alpha, beta and omega) receptor 2"
IGF1_IGF1R,IGF1,insulin-like growth factor 1 (somatomedin C),IGF1R,insulin-like growth factor 1 receptor
IGF1_INSR,IGF1,insulin-like growth factor 1 (somatomedin C),INSR,insulin receptor
IGF2_IGF1R,IGF2,insulin-like growth factor 2 (somatomedin A),IGF1R,insulin-like growth factor 1 receptor
IGF2_IGF2R,IGF2,insulin-like growth factor 2 (somatomedin A),IGF2R,insulin-like growth factor 2 receptor
IGF2_INSR,IGF2,insulin-like growth factor 2 (somatomedin A),INSR,insulin receptor
IGFBP4_FZD8,IGFBP4,insulin-like growth factor binding protein 4,FZD8,frizzled class receptor 8
IGFBP4_LRP6,IGFBP4,insulin-like growth factor binding protein 4,LRP6,low density lipoprotein receptor-related protein 6
IGFL1_IGFLR1,IGFL1,IGF-like family member 1,IGFLR1,IGF-like family receptor 1
IGFL2_IGFLR1,IGFL2,IGF-like family member 2,IGFLR1,IGF-like family receptor 1
IGFL3_IGFLR1,IGFL3,IGF-like family member 3,IGFLR1,IGF-like family receptor 1
IHH_BOC,IHH,indian hedgehog,BOC,"BOC cell adhesion associated, oncogene regulated"
IHH_CDON,IHH,indian hedgehog,CDON,"cell adhesion associated, oncogene regulated"
IHH_HHIP,IHH,indian hedgehog,HHIP,hedgehog interacting protein
IHH_PTCH1,IHH,indian hedgehog,PTCH1,patched 1
IHH_PTCH2,IHH,indian hedgehog,PTCH2,patched 2
IL10_IL10RA,IL10,interleukin 10,IL10RA,"interleukin 10 receptor, alpha"
IL10_IL10RB,IL10,interleukin 10,IL10RB,"interleukin 10 receptor, beta"
IL10_SIRPG,IL10,interleukin 10,SIRPG,signal-regulatory protein gamma
IL11_IL11RA,IL11,interleukin 11,IL11RA,"interleukin 11 receptor, alpha"
IL11_IL6ST,IL11,interleukin 11,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)"
IL12A_CD28,IL12A,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)",CD28,CD28 molecule
IL12A_IL12RB1,IL12A,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)",IL12RB1,"interleukin 12 receptor, beta 1"
IL12A_IL12RB2,IL12A,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)",IL12RB2,"interleukin 12 receptor, beta 2"
IL12B_IL12RB1,IL12B,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)",IL12RB1,"interleukin 12 receptor, beta 1"
IL12B_IL12RB2,IL12B,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)",IL12RB2,"interleukin 12 receptor, beta 2"
IL12B_IL23R,IL12B,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)",IL23R,interleukin 23 receptor
IL13_IL13RA1,IL13,interleukin 13,IL13RA1,"interleukin 13 receptor, alpha 1"
IL13_IL13RA2,IL13,interleukin 13,IL13RA2,"interleukin 13 receptor, alpha 2"
IL13_IL2RG,IL13,interleukin 13,IL2RG,"interleukin 2 receptor, gamma"
IL13_IL4R,IL13,interleukin 13,IL4R,interleukin 4 receptor
IL15_IL15RA,IL15,interleukin 15,IL15RA,"interleukin 15 receptor, alpha"
IL15_IL2RA,IL15,interleukin 15,IL2RA,"interleukin 2 receptor, alpha"
IL15_IL2RB,IL15,interleukin 15,IL2RB,"interleukin 2 receptor, beta"
IL15_IL2RG,IL15,interleukin 15,IL2RG,"interleukin 2 receptor, gamma"
IL16_CCR5,IL16,interleukin 16,CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene)
IL16_CD4,IL16,interleukin 16,CD4,CD4 molecule
IL16_GRIN2C,IL16,interleukin 16,GRIN2C,"glutamate receptor, ionotropic, N-methyl D-aspartate 2C"
IL16_GRIN2D,IL16,interleukin 16,GRIN2D,"glutamate receptor, ionotropic, N-methyl D-aspartate 2D"
IL16_KCNA3,IL16,interleukin 16,KCNA3,"potassium voltage-gated channel, shaker-related subfamily, member 3"
IL16_KCND1,IL16,interleukin 16,KCND1,"potassium voltage-gated channel, Shal-related subfamily, member 1"
IL16_KCND2,IL16,interleukin 16,KCND2,"potassium voltage-gated channel, Shal-related subfamily, member 2"
IL16_KCNJ10,IL16,interleukin 16,KCNJ10,"potassium inwardly-rectifying channel, subfamily J, member 10"
IL16_KCNJ15,IL16,interleukin 16,KCNJ15,"potassium inwardly-rectifying channel, subfamily J, member 15"
IL16_KCNJ4,IL16,interleukin 16,KCNJ4,"potassium inwardly-rectifying channel, subfamily J, member 4"
IL17A_IL17RA,IL17A,interleukin 17A,IL17RA,interleukin 17 receptor A
IL17A_IL17RC,IL17A,interleukin 17A,IL17RC,interleukin 17 receptor C
IL17B_IL17RB,IL17B,interleukin 17B,IL17RB,interleukin 17 receptor B
IL17F_IL17RA,IL17F,interleukin 17F,IL17RA,interleukin 17 receptor A
IL18_CD48,IL18,interleukin 18 (interferon-gamma-inducing factor),CD48,CD48 molecule
IL18_IL18R1,IL18,interleukin 18 (interferon-gamma-inducing factor),IL18R1,interleukin 18 receptor 1
IL18_IL18RAP,IL18,interleukin 18 (interferon-gamma-inducing factor),IL18RAP,interleukin 18 receptor accessory protein
IL18_IL1RAPL1,IL18,interleukin 18 (interferon-gamma-inducing factor),IL1RAPL1,interleukin 1 receptor accessory protein-like 1
IL18_IL1RL2,IL18,interleukin 18 (interferon-gamma-inducing factor),IL1RL2,interleukin 1 receptor-like 2
IL19_IL20RA,IL19,interleukin 19,IL20RA,"interleukin 20 receptor, alpha"
IL19_IL20RB,IL19,interleukin 19,IL20RB,interleukin 20 receptor beta
IL1A_IL1R1,IL1A,"interleukin 1, alpha",IL1R1,"interleukin 1 receptor, type I"
IL1A_IL1R2,IL1A,"interleukin 1, alpha",IL1R2,"interleukin 1 receptor, type II"
IL1A_IL1RAP,IL1A,"interleukin 1, alpha",IL1RAP,interleukin 1 receptor accessory protein
IL1B_ADRB2,IL1B,"interleukin 1, beta",ADRB2,"adrenoceptor beta 2, surface"
IL1B_IL1R1,IL1B,"interleukin 1, beta",IL1R1,"interleukin 1 receptor, type I"
IL1B_IL1R2,IL1B,"interleukin 1, beta",IL1R2,"interleukin 1 receptor, type II"
IL1B_IL1RAP,IL1B,"interleukin 1, beta",IL1RAP,interleukin 1 receptor accessory protein
IL1F10_IL1R1,IL1F10,"interleukin 1 family, member 10 (theta)",IL1R1,"interleukin 1 receptor, type I"
IL1RN_IL1R1,IL1RN,interleukin 1 receptor antagonist,IL1R1,"interleukin 1 receptor, type I"
IL1RN_IL1R2,IL1RN,interleukin 1 receptor antagonist,IL1R2,"interleukin 1 receptor, type II"
IL1RN_IL1RL2,IL1RN,interleukin 1 receptor antagonist,IL1RL2,interleukin 1 receptor-like 2
IL20_IL20RA,IL20,interleukin 20,IL20RA,"interleukin 20 receptor, alpha"
IL20_IL20RB,IL20,interleukin 20,IL20RB,interleukin 20 receptor beta
IL20_IL22RA1,IL20,interleukin 20,IL22RA1,"interleukin 22 receptor, alpha 1"
IL21_IL21R,IL21,interleukin 21,IL21R,interleukin 21 receptor
IL21_IL2RG,IL21,interleukin 21,IL2RG,"interleukin 2 receptor, gamma"
IL22_IL10RA,IL22,interleukin 22,IL10RA,"interleukin 10 receptor, alpha"
IL22_IL10RB,IL22,interleukin 22,IL10RB,"interleukin 10 receptor, beta"
IL22_IL21R,IL22,interleukin 22,IL21R,interleukin 21 receptor
IL22_IL22RA1,IL22,interleukin 22,IL22RA1,"interleukin 22 receptor, alpha 1"
IL22_IL22RA2,IL22,interleukin 22,IL22RA2,"interleukin 22 receptor, alpha 2"
IL23A_IL12RB1,IL23A,"interleukin 23, alpha subunit p19",IL12RB1,"interleukin 12 receptor, beta 1"
IL23A_IL23R,IL23A,"interleukin 23, alpha subunit p19",IL23R,interleukin 23 receptor
IL24_IL20RA,IL24,interleukin 24,IL20RA,"interleukin 20 receptor, alpha"
IL24_IL20RB,IL24,interleukin 24,IL20RB,interleukin 20 receptor beta
IL24_IL22RA1,IL24,interleukin 24,IL22RA1,"interleukin 22 receptor, alpha 1"
IL25_IL17RB,IL25,interleukin 25,IL17RB,interleukin 17 receptor B
IL26_IL20RA,IL26,interleukin 26,IL20RA,"interleukin 20 receptor, alpha"
IL27_IL27RA,IL27,interleukin 27,IL27RA,"interleukin 27 receptor, alpha"
IL2_CD53,IL2,interleukin 2,CD53,CD53 molecule
IL2_GYPE,IL2,interleukin 2,GYPE,glycophorin E (MNS blood group)
IL2_IL2RA,IL2,interleukin 2,IL2RA,"interleukin 2 receptor, alpha"
IL2_IL2RB,IL2,interleukin 2,IL2RB,"interleukin 2 receptor, beta"
IL2_IL2RG,IL2,interleukin 2,IL2RG,"interleukin 2 receptor, gamma"
IL2_NGFR,IL2,interleukin 2,NGFR,nerve growth factor receptor
IL31_IL31RA,IL31,interleukin 31,IL31RA,interleukin 31 receptor A
IL31_OSMR,IL31,interleukin 31,OSMR,oncostatin M receptor
IL34_CSF1R,IL34,interleukin 34,CSF1R,colony stimulating factor 1 receptor
IL3_CSF2RB,IL3,"interleukin 3 (colony-stimulating factor, multiple)",CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
IL3_IL3RA,IL3,"interleukin 3 (colony-stimulating factor, multiple)",IL3RA,"interleukin 3 receptor, alpha (low affinity)"
IL4_CD53,IL4,interleukin 4,CD53,CD53 molecule
IL4_IL13RA1,IL4,interleukin 4,IL13RA1,"interleukin 13 receptor, alpha 1"
IL4_IL13RA2,IL4,interleukin 4,IL13RA2,"interleukin 13 receptor, alpha 2"
IL4_IL2RG,IL4,interleukin 4,IL2RG,"interleukin 2 receptor, gamma"
IL4_IL4R,IL4,interleukin 4,IL4R,interleukin 4 receptor
IL5_CSF2RB,IL5,"interleukin 5 (colony-stimulating factor, eosinophil)",CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
IL5_IL5RA,IL5,"interleukin 5 (colony-stimulating factor, eosinophil)",IL5RA,"interleukin 5 receptor, alpha"
IL6_F3,IL6,"interleukin 6 (interferon, beta 2)",F3,"coagulation factor III (thromboplastin, tissue factor)"
IL6_IL6R,IL6,"interleukin 6 (interferon, beta 2)",IL6R,interleukin 6 receptor
IL6_IL6ST,IL6,"interleukin 6 (interferon, beta 2)",IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)"
IL7_IL2RG,IL7,interleukin 7,IL2RG,"interleukin 2 receptor, gamma"
IL7_IL7R,IL7,interleukin 7,IL7R,interleukin 7 receptor
IL8_CD79A,IL8,interleukin 8,CD79A,"CD79a molecule, immunoglobulin-associated alpha"
IL8_CXCR1,IL8,interleukin 8,CXCR1,chemokine (C-X-C motif) receptor 1
IL8_CXCR2,IL8,interleukin 8,CXCR2,chemokine (C-X-C motif) receptor 2
IL8_DARC,IL8,interleukin 8,DARC,"Duffy blood group, atypical chemokine receptor"
IL8_KDR,IL8,interleukin 8,KDR,kinase insert domain receptor (a type III receptor tyrosine kinase)
IL8_SDC1,IL8,interleukin 8,SDC1,syndecan 1
IL8_SDC2,IL8,interleukin 8,SDC2,syndecan 2
IL8_SDC3,IL8,interleukin 8,SDC3,syndecan 3
IL9_IL2RG,IL9,interleukin 9,IL2RG,"interleukin 2 receptor, gamma"
IL9_IL9R,IL9,interleukin 9,IL9R,interleukin 9 receptor
INHA_ACVR1,INHA,"inhibin, alpha",ACVR1,"activin A receptor, type I"
INHA_ACVR1B,INHA,"inhibin, alpha",ACVR1B,"activin A receptor, type IB"
INHA_ACVR2A,INHA,"inhibin, alpha",ACVR2A,"activin A receptor, type IIA"
INHA_ACVR2B,INHA,"inhibin, alpha",ACVR2B,"activin A receptor, type IIB"
INHA_TGFBR3,INHA,"inhibin, alpha",TGFBR3,"transforming growth factor, beta receptor III"
INHBA_ACVR1,INHBA,"inhibin, beta A",ACVR1,"activin A receptor, type I"
INHBA_ACVR1B,INHBA,"inhibin, beta A",ACVR1B,"activin A receptor, type IB"
INHBA_ACVR2A,INHBA,"inhibin, beta A",ACVR2A,"activin A receptor, type IIA"
INHBA_ACVR2B,INHBA,"inhibin, beta A",ACVR2B,"activin A receptor, type IIB"
INHBA_BAMBI,INHBA,"inhibin, beta A",BAMBI,BMP and activin membrane-bound inhibitor
INHBA_ENG,INHBA,"inhibin, beta A",ENG,endoglin
INHBA_TGFBR3,INHBA,"inhibin, beta A",TGFBR3,"transforming growth factor, beta receptor III"
INHBB_ACVR1,INHBB,"inhibin, beta B",ACVR1,"activin A receptor, type I"
INHBB_ACVR1B,INHBB,"inhibin, beta B",ACVR1B,"activin A receptor, type IB"
INHBB_ACVR1C,INHBB,"inhibin, beta B",ACVR1C,"activin A receptor, type IC"
INHBB_ACVR2A,INHBB,"inhibin, beta B",ACVR2A,"activin A receptor, type IIA"
INHBB_ACVR2B,INHBB,"inhibin, beta B",ACVR2B,"activin A receptor, type IIB"
INHBC_ACVR1,INHBC,"inhibin, beta C",ACVR1,"activin A receptor, type I"
INHBC_ACVR1B,INHBC,"inhibin, beta C",ACVR1B,"activin A receptor, type IB"
INHBC_ACVR2A,INHBC,"inhibin, beta C",ACVR2A,"activin A receptor, type IIA"
INHBC_ACVR2B,INHBC,"inhibin, beta C",ACVR2B,"activin A receptor, type IIB"
INHBE_ACVR1,INHBE,"inhibin, beta E",ACVR1,"activin A receptor, type I"
INHBE_ACVR1B,INHBE,"inhibin, beta E",ACVR1B,"activin A receptor, type IB"
INHBE_ACVR2A,INHBE,"inhibin, beta E",ACVR2A,"activin A receptor, type IIA"
INHBE_ENG,INHBE,"inhibin, beta E",ENG,endoglin
INSL3_RXFP2,INSL3,insulin-like 3 (Leydig cell),RXFP2,relaxin/insulin-like family peptide receptor 2
INSL5_RXFP3,INSL5,insulin-like 5,RXFP3,relaxin/insulin-like family peptide receptor 3
INSL5_RXFP4,INSL5,insulin-like 5,RXFP4,relaxin/insulin-like family peptide receptor 4
INS_IGF1R,INS,insulin,IGF1R,insulin-like growth factor 1 receptor
INS_INSR,INS,insulin,INSR,insulin receptor
INS_LRP2,INS,insulin,LRP2,low density lipoprotein receptor-related protein 2
ITGB3BP_ITGB3,ITGB3BP,integrin beta 3 binding protein (beta3-endonexin),ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
ITGB3BP_ITGB5,ITGB3BP,integrin beta 3 binding protein (beta3-endonexin),ITGB5,"integrin, beta 5"
ITIH2_FCER1A,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2,FCER1A,"Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide"
JAG1_NOTCH1,JAG1,jagged 1,NOTCH1,notch 1
JAG1_NOTCH2,JAG1,jagged 1,NOTCH2,notch 2
JAG1_NOTCH3,JAG1,jagged 1,NOTCH3,notch 3
JAG1_NOTCH4,JAG1,jagged 1,NOTCH4,notch 4
JAG2_NOTCH1,JAG2,jagged 2,NOTCH1,notch 1
JAG2_NOTCH2,JAG2,jagged 2,NOTCH2,notch 2
JAG2_NOTCH3,JAG2,jagged 2,NOTCH3,notch 3
JAG2_NOTCH4,JAG2,jagged 2,NOTCH4,notch 4
KAL1_FGFR1,KAL1,Kallmann syndrome 1 sequence,FGFR1,fibroblast growth factor receptor 1
KAL1_SDC2,KAL1,Kallmann syndrome 1 sequence,SDC2,syndecan 2
KISS1_KISS1R,KISS1,KiSS-1 metastasis-suppressor,KISS1R,KISS1 receptor
KISS1_MMP24,KISS1,KiSS-1 metastasis-suppressor,MMP24,matrix metallopeptidase 24 (membrane-inserted)
KITLG_EPOR,KITLG,KIT ligand,EPOR,erythropoietin receptor
KITLG_KIT,KITLG,KIT ligand,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
KLK3_EPOR,KLK3,kallikrein-related peptidase 3,EPOR,erythropoietin receptor
KNG1_BDKRB1,KNG1,kininogen 1,BDKRB1,bradykinin receptor B1
KNG1_BDKRB2,KNG1,kininogen 1,BDKRB2,bradykinin receptor B2
KNG1_CD93,KNG1,kininogen 1,CD93,CD93 molecule
KNG1_GP1BA,KNG1,kininogen 1,GP1BA,"glycoprotein Ib (platelet), alpha polypeptide"
KNG1_GPR135,KNG1,kininogen 1,GPR135,G protein-coupled receptor 135
KNG1_ITGAM,KNG1,kininogen 1,ITGAM,"integrin, alpha M (complement component 3 receptor 3 subunit)"
KNG1_ITGB2,KNG1,kininogen 1,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
KNG1_PLAUR,KNG1,kininogen 1,PLAUR,"plasminogen activator, urokinase receptor"
KNG1_RXFP4,KNG1,kininogen 1,RXFP4,relaxin/insulin-like family peptide receptor 4
KNG1_SDC2,KNG1,kininogen 1,SDC2,syndecan 2
KRTAP4-12_AQP1,KRTAP4-12,keratin associated protein 4-12,AQP1,aquaporin 1 (Colton blood group)
KRTAP4-12_CATSPER1,KRTAP4-12,keratin associated protein 4-12,CATSPER1,"cation channel, sperm associated 1"
KRTAP4-12_CLDN2,KRTAP4-12,keratin associated protein 4-12,CLDN2,claudin 2
KRTAP4-12_CNTFR,KRTAP4-12,keratin associated protein 4-12,CNTFR,ciliary neurotrophic factor receptor
KRTAP4-12_DLK2,KRTAP4-12,,DLK2,
KRTAP4-12_LINGO1,KRTAP4-12,keratin associated protein 4-12,LINGO1,leucine rich repeat and Ig domain containing 1
KRTAP4-12_PDGFRB,KRTAP4-12,keratin associated protein 4-12,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide"
KRTAP4-12_PLSCR4,KRTAP4-12,keratin associated protein 4-12,PLSCR4,phospholipid scramblase 4
L1CAM_CNTN1,L1CAM,L1 cell adhesion molecule,CNTN1,contactin 1
L1CAM_EGFR,L1CAM,L1 cell adhesion molecule,EGFR,epidermal growth factor receptor
L1CAM_EPHB2,L1CAM,L1 cell adhesion molecule,EPHB2,EPH receptor B2
L1CAM_ERBB2,L1CAM,L1 cell adhesion molecule,ERBB2,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2
L1CAM_ERBB3,L1CAM,L1 cell adhesion molecule,ERBB3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
L1CAM_FGFR2,L1CAM,L1 cell adhesion molecule,FGFR2,fibroblast growth factor receptor 2
L1CAM_ITGA5,L1CAM,L1 cell adhesion molecule,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
L1CAM_ITGAV,L1CAM,L1 cell adhesion molecule,ITGAV,"integrin, alpha V"
LACRT_SDC1,LACRT,lacritin,SDC1,syndecan 1
LAMA1_GPC1,LAMA1,"laminin, alpha 1",GPC1,glypican 1
LAMA1_ITGA1,LAMA1,"laminin, alpha 1",ITGA1,"integrin, alpha 1"
LAMA1_ITGA2,LAMA1,"laminin, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
LAMA1_ITGA3,LAMA1,"laminin, alpha 1",ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
LAMA1_ITGA6,LAMA1,"laminin, alpha 1",ITGA6,"integrin, alpha 6"
LAMA1_ITGA7,LAMA1,"laminin, alpha 1",ITGA7,"integrin, alpha 7"
LAMA1_ITGB1,LAMA1,"laminin, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
LAMA1_ITGB4,LAMA1,"laminin, alpha 1",ITGB4,"integrin, beta 4"
LAMA1_ITGB8,LAMA1,"laminin, alpha 1",ITGB8,"integrin, beta 8"
LAMA1_NT5E,LAMA1,"laminin, alpha 1",NT5E,"5'-nucleotidase, ecto (CD73)"
LAMA1_RPSA,LAMA1,"laminin, alpha 1",RPSA,ribosomal protein SA
LAMA1_SDC2,LAMA1,"laminin, alpha 1",SDC2,syndecan 2
LAMA1_SDC4,LAMA1,"laminin, alpha 1",SDC4,syndecan 4
LAMA1_TMPRSS6,LAMA1,"laminin, alpha 1",TMPRSS6,"transmembrane protease, serine 6"
LAMA2_ITGA1,LAMA2,"laminin, alpha 2",ITGA1,"integrin, alpha 1"
LAMA2_ITGA2,LAMA2,"laminin, alpha 2",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
LAMA2_ITGA3,LAMA2,"laminin, alpha 2",ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
LAMA2_ITGA6,LAMA2,"laminin, alpha 2",ITGA6,"integrin, alpha 6"
LAMA2_ITGA7,LAMA2,"laminin, alpha 2",ITGA7,"integrin, alpha 7"
LAMA2_ITGB1,LAMA2,"laminin, alpha 2",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
LAMA2_ITGB4,LAMA2,"laminin, alpha 2",ITGB4,"integrin, beta 4"
LAMA2_RPSA,LAMA2,"laminin, alpha 2",RPSA,ribosomal protein SA
LAMA3_SDC2,LAMA3,"laminin, alpha 3",SDC2,syndecan 2
LAMA4_ITGA3,LAMA4,"laminin, alpha 4",ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
LAMA4_ITGA6,LAMA4,"laminin, alpha 4",ITGA6,"integrin, alpha 6"
LAMA4_ITGAV,LAMA4,"laminin, alpha 4",ITGAV,"integrin, alpha V"
LAMA4_ITGB1,LAMA4,"laminin, alpha 4",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
LAMA5_BCAM,LAMA5,"laminin, alpha 5",BCAM,basal cell adhesion molecule (Lutheran blood group)
LAMA5_ITGA2,LAMA5,"laminin, alpha 5",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
LAMA5_ITGA3,LAMA5,"laminin, alpha 5",ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
LAMA5_ITGA6,LAMA5,"laminin, alpha 5",ITGA6,"integrin, alpha 6"
LAMA5_ITGB1,LAMA5,"laminin, alpha 5",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
LAMA5_ITGB4,LAMA5,"laminin, alpha 5",ITGB4,"integrin, beta 4"
LAMA5_SDC1,LAMA5,"laminin, alpha 5",SDC1,syndecan 1
LAMB1_ITGA1,LAMB1,"laminin, beta 1",ITGA1,"integrin, alpha 1"
